date;department;category;region;budget_amount;actual_amount;payment_method;transaction_id
14/5/2023;HR;Travel;Central;10613;90373;Card;TXN105534
12/12/2023;HR;Travel;Central;147868;150475;Card;TXN105771
18/8/2023;HR;Travel;Central;48574;103701;Card;TXN105917
23/1/2022;HR;Travel;Central;108739;92049;Bank Transfer;TXN106514
9/7/2022;HR;Travel;Central;14937;117795;Bank Transfer;TXN106549
30/10/2022;HR;Travel;Central;102312;33605;Card;TXN106611
19/12/2021;HR;Travel;Central;124621;35640;Cash;TXN106979
5/6/2022;HR;Travel;Central;131937;13152;UPI;TXN107318
29/8/2022;HR;Travel;Central;70924;63132;UPI;TXN107383
21/2/2022;HR;Travel;Central;135982;116090;Bank Transfer;TXN107446
17/8/2021;HR;Travel;Central;76413;140288;UPI;TXN107453
24/5/2023;HR;Travel;Central;33823;19826;Cash;TXN107535
17/8/2023;HR;Travel;Central;94498;62527;Card;TXN107673
19/5/2021;HR;Travel;Central;143251;75879;Cash;TXN107686
10/7/2021;HR;Travel;Central;66718;148637;Card;TXN108635
11/8/2023;HR;Travel;Central;132516;132372;Cash;TXN108666
25/2/2022;HR;Travel;Central;91628;129081;Card;TXN108865
21/6/2023;HR;Travel;Central;25848;55927;Cash;TXN108903
15/2/2021;HR;Travel;Central;131320;18473;Card;TXN109214
3/2/2021;HR;Travel;Central;48011;68929;Card;TXN109617
8/7/2023;HR;Travel;Central;100222;25067;Bank Transfer;TXN109670
26/2/2021;HR;Travel;Central;74402;66672;Bank Transfer;TXN109949
14/1/2022;Marketing;Travel;Central;149446;133306;Bank Transfer;TXN100082
17/1/2021;Marketing;Travel;Central;39448;92392;Cash;TXN100240
16/3/2021;Marketing;Travel;Central;123746;123156;Cash;TXN100584
27/12/2022;Marketing;Travel;Central;83595;151817;Cash;TXN100659
29/1/2023;Marketing;Travel;Central;126120;124979;UPI;TXN100709
6/12/2022;Marketing;Travel;Central;73261;24715;Cash;TXN101264
11/6/2022;Marketing;Travel;Central;85068;105073;UPI;TXN101324
16/3/2023;Marketing;Travel;Central;82239;25280;Bank Transfer;TXN101428
9/11/2021;Marketing;Travel;Central;145078;131995;Bank Transfer;TXN101486
8/1/2022;Marketing;Travel;Central;64720;46492;UPI;TXN101615
7/9/2023;Marketing;Travel;Central;123140;30168;Bank Transfer;TXN101728
9/9/2023;Marketing;Travel;Central;124375;157028;UPI;TXN101844
12/3/2022;Marketing;Travel;Central;55596;166033;Card;TXN101922
8/4/2022;Marketing;Travel;Central;42195;146704;Cash;TXN101938
1/8/2023;Marketing;Travel;Central;122301;42343;Cash;TXN101976
17/2/2022;Marketing;Travel;Central;63546;59167;Bank Transfer;TXN102008
4/5/2021;Marketing;Travel;Central;62068;14548;Card;TXN102098
10/11/2021;Marketing;Travel;Central;136874;49357;Cash;TXN102158
8/8/2021;Marketing;Travel;Central;103800;87903;Card;TXN102259
15/8/2021;Marketing;Travel;Central;118469;149464;Bank Transfer;TXN102286
15/7/2023;Marketing;Travel;Central;17549;60483;UPI;TXN102558
24/3/2021;Marketing;Travel;Central;51354;111512;Card;TXN102703
3/12/2021;Marketing;Travel;Central;22025;23581;Bank Transfer;TXN102728
14/7/2022;Marketing;Travel;Central;118998;89010;UPI;TXN102934
24/6/2021;Marketing;Travel;Central;101402;120571;Bank Transfer;TXN103118
25/1/2022;Marketing;Travel;Central;10257;25676;Cash;TXN103304
12/7/2021;Marketing;Travel;Central;35547;132024;Card;TXN103447
17/12/2022;Marketing;Travel;Central;106057;38623;Card;TXN103545
21/6/2023;Marketing;Travel;Central;146116;60379;Cash;TXN103588
26/8/2021;Marketing;Travel;Central;122951;70719;Bank Transfer;TXN103763
5/1/2021;Marketing;Travel;Central;96769;42895;UPI;TXN104006
14/2/2021;Marketing;Travel;Central;17731;95587;Card;TXN104260
26/4/2023;Marketing;Travel;Central;52980;161770;Bank Transfer;TXN104365
23/1/2023;Marketing;Travel;Central;34432;28379;Cash;TXN104927
2/3/2021;Marketing;Travel;Central;119642;163863;Cash;TXN105058
3/3/2022;Marketing;Travel;Central;72774;133721;Bank Transfer;TXN105155
20/2/2023;Marketing;Travel;Central;40112;91996;UPI;TXN105243
31/7/2021;Marketing;Travel;Central;75979;56308;Bank Transfer;TXN105333
8/9/2023;Marketing;Travel;Central;10770;166097;Bank Transfer;TXN105341
8/8/2023;Marketing;Travel;Central;101336;44233;UPI;TXN105483
25/8/2021;Marketing;Travel;Central;108839;39234;Card;TXN105644
6/9/2022;Marketing;Travel;Central;115799;11722;UPI;TXN105976
18/2/2021;Marketing;Travel;Central;17357;16587;UPI;TXN106048
16/4/2022;Marketing;Travel;Central;16788;33640;Cash;TXN106401
25/2/2021;Marketing;Travel;Central;13503;71215;UPI;TXN106721
22/11/2022;Marketing;Travel;Central;33217;42574;Cash;TXN106831
7/11/2021;Marketing;Travel;Central;23295;135265;Cash;TXN106893
29/3/2022;Marketing;Travel;Central;99355;23013;Cash;TXN107131
2/4/2022;Marketing;Travel;Central;99903;34287;Bank Transfer;TXN107221
14/12/2023;Marketing;Travel;Central;32846;84693;Cash;TXN107233
22/2/2021;Marketing;Travel;Central;69839;13077;Cash;TXN107246
15/11/2022;Marketing;Travel;Central;38806;91707;UPI;TXN107327
13/1/2023;Marketing;Travel;Central;136657;124231;UPI;TXN107514
10/3/2022;Marketing;Travel;Central;42630;100445;UPI;TXN107745
20/9/2022;Marketing;Travel;Central;12191;134365;UPI;TXN108217
20/7/2022;Marketing;Travel;Central;130016;60973;Bank Transfer;TXN108284
25/10/2021;Marketing;Travel;Central;94595;113218;Bank Transfer;TXN108305
15/11/2023;Marketing;Travel;Central;25106;38801;UPI;TXN108538
11/11/2023;Marketing;Travel;Central;12434;161672;Cash;TXN108547
31/3/2023;Marketing;Travel;Central;74981;22945;Card;TXN108813
2/10/2022;Marketing;Travel;Central;136123;121989;Card;TXN108955
9/11/2022;Marketing;Travel;Central;22737;10414;Cash;TXN109175
7/4/2021;Marketing;Travel;Central;52721;89958;Card;TXN109444
12/9/2022;Marketing;Travel;Central;127430;27137;Cash;TXN109450
18/9/2021;Marketing;Travel;Central;70849;101490;UPI;TXN109732
19/7/2022;Marketing;Travel;Central;132262;112645;Card;TXN109974
14/8/2023;Operations;Travel;Central;20798;13931;Card;TXN100043
19/7/2023;Operations;Travel;Central;98434;81095;Card;TXN100090
11/12/2022;Sales;Travel;Central;85856;95951;UPI;TXN100134
27/5/2021;IT;Travel;Central;120357;165689;Card;TXN100171
4/9/2021;Sales;Travel;Central;39899;33304;Cash;TXN100338
6/8/2021;Operations;Travel;Central;10667;143919;Cash;TXN100350
24/5/2021;IT;Travel;Central;125308;27503;UPI;TXN100427
26/6/2021;Sales;Travel;Central;60560;65277;Cash;TXN100536
13/11/2023;IT;Travel;Central;148143;153494;Card;TXN100551
9/3/2023;Operations;Travel;Central;58787;28861;Cash;TXN100591
5/4/2021;Sales;Travel;Central;133890;77344;UPI;TXN100618
16/11/2021;Sales;Travel;Central;19233;30960;Cash;TXN100743
9/3/2023;Operations;Travel;Central;113661;21196;Card;TXN100768
8/7/2022;IT;Travel;Central;140596;25328;Card;TXN100797
5/2/2022;Sales;Travel;Central;144977;11698;Bank Transfer;TXN101076
17/9/2023;Operations;Travel;Central;68172;81933;Card;TXN101088
31/7/2022;Operations;Travel;Central;21135;63094;UPI;TXN101134
4/6/2023;Sales;Travel;Central;96924;122188;Card;TXN101157
9/2/2021;IT;Travel;Central;47542;131682;UPI;TXN101188
29/11/2022;IT;Travel;Central;140985;111046;UPI;TXN101206
15/12/2021;IT;Travel;Central;98251;119480;UPI;TXN101318
21/1/2022;Operations;Travel;Central;76323;135556;UPI;TXN101335
2/5/2021;Operations;Travel;Central;84644;50836;Bank Transfer;TXN101403
8/7/2023;IT;Travel;Central;50456;58228;Card;TXN101475
10/6/2023;Sales;Travel;Central;108104;136939;Cash;TXN101596
6/9/2022;IT;Travel;Central;39554;14158;Card;TXN101711
25/3/2022;Operations;Travel;Central;148968;40411;Cash;TXN101755
20/8/2021;IT;Travel;Central;149850;29102;Cash;TXN101920
29/4/2021;Sales;Travel;Central;145427;37319;Card;TXN101945
10/6/2021;Operations;Travel;Central;18377;159259;Card;TXN102091
20/7/2023;Operations;Travel;Central;110187;8623;Cash;TXN102122
10/6/2021;Operations;Travel;Central;11908;64973;Card;TXN102167
8/10/2022;Operations;Travel;Central;28376;48509;Bank Transfer;TXN102289
19/8/2022;IT;Travel;Central;122597;117828;Bank Transfer;TXN102354
3/4/2021;Sales;Travel;Central;34347;157801;Card;TXN102445
18/6/2023;Sales;Travel;Central;30287;118520;Card;TXN102594
16/4/2023;IT;Travel;Central;52297;55780;Cash;TXN102603
12/9/2022;IT;Travel;Central;129511;106440;UPI;TXN102634
16/9/2022;IT;Travel;Central;36085;14508;UPI;TXN102771
17/6/2023;IT;Travel;Central;107544;74195;Card;TXN102803
31/8/2023;Operations;Travel;Central;113932;17279;UPI;TXN102860
6/4/2022;IT;Travel;Central;32500;74389;Card;TXN102894
13/4/2023;IT;Travel;Central;127849;94189;UPI;TXN102959
25/2/2022;Sales;Travel;Central;73387;149123;Card;TXN103039
30/6/2021;IT;Travel;Central;12397;12161;Cash;TXN103055
23/10/2022;Sales;Travel;Central;99529;118520;UPI;TXN103080
14/3/2021;IT;Travel;Central;100328;134283;Card;TXN103113
29/1/2023;Operations;Travel;Central;20522;72712;Cash;TXN103133
1/6/2022;Operations;Travel;Central;119644;74604;Card;TXN103166
19/2/2021;Sales;Travel;Central;25400;111115;Card;TXN103174
31/7/2021;Operations;Travel;Central;137277;114781;Card;TXN103270
12/4/2023;Operations;Travel;Central;55598;166320;UPI;TXN103436
25/6/2022;Operations;Travel;Central;52773;158419;UPI;TXN103451
16/11/2022;Operations;Travel;Central;60197;105053;Bank Transfer;TXN103488
19/11/2021;IT;Travel;Central;93669;157327;Card;TXN103497
17/6/2023;Sales;Travel;Central;54592;48671;UPI;TXN103508
2/3/2023;Sales;Travel;Central;52147;125644;Bank Transfer;TXN103554
10/3/2022;IT;Travel;Central;129050;152369;Card;TXN103673
19/2/2023;Sales;Travel;Central;120856;63349;Cash;TXN103678
15/7/2023;IT;Travel;Central;94986;114091;Card;TXN103694
12/8/2021;IT;Travel;Central;89139;32793;Cash;TXN103799
8/5/2022;IT;Travel;Central;102855;33021;Card;TXN103905
17/12/2021;IT;Travel;Central;93695;44517;Card;TXN103963
29/5/2021;Sales;Travel;Central;93082;62909;Bank Transfer;TXN103972
7/9/2022;Sales;Travel;Central;121132;57440;Card;TXN104026
6/1/2021;IT;Travel;Central;19433;24696;Cash;TXN104062
6/9/2023;Operations;Travel;Central;111844;94810;UPI;TXN104149
16/3/2022;Sales;Travel;Central;133384;44303;Cash;TXN104456
15/3/2022;Sales;Travel;Central;44184;13207;UPI;TXN104461
11/1/2022;IT;Travel;Central;120402;95165;UPI;TXN104473
15/2/2021;IT;Travel;Central;148730;19125;Card;TXN104478
24/2/2022;Operations;Travel;Central;89835;47796;Cash;TXN104643
30/4/2023;IT;Travel;Central;34091;145310;Cash;TXN104668
4/11/2023;Operations;Travel;Central;82402;80483;Card;TXN104681
17/10/2023;Operations;Travel;Central;104380;17552;Card;TXN104702
6/11/2021;Operations;Travel;Central;148740;88330;UPI;TXN104703
23/3/2022;IT;Travel;Central;17747;78880;UPI;TXN104909
15/3/2023;IT;Travel;Central;132887;134366;Bank Transfer;TXN104919
25/11/2022;Operations;Travel;Central;98080;132559;Card;TXN104993
3/5/2023;Sales;Travel;Central;69672;44317;Card;TXN105050
2/4/2021;IT;Travel;Central;91470;84159;Card;TXN105201
4/8/2022;IT;Travel;Central;27924;82800;UPI;TXN105284
10/11/2022;Sales;Travel;Central;102609;25480;Bank Transfer;TXN105345
26/2/2021;IT;Travel;Central;144525;113500;UPI;TXN105377
22/4/2022;Operations;Travel;Central;24788;70205;Cash;TXN105381
13/9/2023;Operations;Travel;Central;78041;159525;UPI;TXN105437
16/1/2021;IT;Travel;Central;90322;96240;Card;TXN105438
1/10/2023;Operations;Travel;Central;144940;39577;Cash;TXN105563
15/7/2023;IT;Travel;Central;131222;147598;Bank Transfer;TXN105564
8/1/2022;Sales;Travel;Central;58149;168656;UPI;TXN105649
28/2/2022;Sales;Travel;Central;123015;85541;Card;TXN105674
11/12/2022;IT;Travel;Central;136741;71968;UPI;TXN105756
18/4/2022;Operations;Travel;Central;100456;64753;UPI;TXN105789
3/11/2023;Sales;Travel;Central;80152;90511;Bank Transfer;TXN105810
3/6/2021;IT;Travel;Central;98625;41161;Card;TXN105879
29/7/2021;Operations;Travel;Central;99647;75185;UPI;TXN105914
24/8/2021;IT;Travel;Central;51138;169081;UPI;TXN105938
28/11/2022;IT;Travel;Central;19285;66270;Cash;TXN106152
16/2/2021;IT;Travel;Central;60654;117575;Card;TXN106168
1/10/2022;IT;Travel;Central;78453;47787;Bank Transfer;TXN106326
23/10/2023;Operations;Travel;Central;87935;134827;Cash;TXN106353
22/10/2022;Sales;Travel;Central;98291;33627;UPI;TXN106363
19/9/2023;IT;Travel;Central;28610;126377;Card;TXN106405
19/8/2022;Operations;Travel;Central;25016;83812;Card;TXN106441
9/5/2023;Operations;Travel;Central;97617;51300;Cash;TXN106445
8/4/2022;Operations;Travel;Central;23024;42620;Bank Transfer;TXN106509
2/8/2021;IT;Travel;Central;98797;78668;Bank Transfer;TXN106515
2/6/2023;IT;Travel;Central;141287;26909;Cash;TXN106518
5/6/2022;IT;Travel;Central;128174;40805;Bank Transfer;TXN106626
8/10/2023;IT;Travel;Central;33365;67323;Bank Transfer;TXN106638
26/6/2023;Operations;Travel;Central;14055;39699;Cash;TXN106707
28/8/2021;Operations;Travel;Central;120997;95132;Cash;TXN106770
8/2/2021;Sales;Travel;Central;89931;128684;Card;TXN106832
14/12/2023;Operations;Travel;Central;22190;83093;UPI;TXN106836
23/4/2021;Operations;Travel;Central;99831;51885;Cash;TXN106841
27/7/2022;Operations;Travel;Central;46194;131354;Cash;TXN106928
31/3/2022;Operations;Travel;Central;47876;155105;Cash;TXN106936
19/10/2022;Sales;Travel;Central;129652;71348;Card;TXN106958
21/5/2021;Operations;Travel;Central;141624;152533;UPI;TXN106984
30/6/2023;Sales;Travel;Central;13107;19763;Bank Transfer;TXN107055
29/5/2022;Sales;Travel;Central;51214;50607;Cash;TXN107058
11/1/2022;IT;Travel;Central;70649;10759;UPI;TXN107068
5/8/2023;Sales;Travel;Central;131631;37863;Cash;TXN107086
26/9/2022;Operations;Travel;Central;65366;134423;Cash;TXN107100
6/9/2023;Operations;Travel;Central;130993;13740;UPI;TXN107113
22/12/2023;IT;Travel;Central;111778;136327;UPI;TXN107180
28/6/2023;Sales;Travel;Central;141351;84318;Cash;TXN107215
19/9/2023;IT;Travel;Central;74305;21586;Bank Transfer;TXN107216
12/11/2022;Sales;Travel;Central;114384;27338;Cash;TXN107271
25/2/2022;Sales;Travel;Central;134065;145404;Cash;TXN107291
13/12/2023;Operations;Travel;Central;10368;17501;Card;TXN107322
6/10/2021;Operations;Travel;Central;141016;126035;Card;TXN107434
26/10/2022;IT;Travel;Central;35430;135103;Bank Transfer;TXN107499
23/7/2022;IT;Travel;Central;29685;40804;Bank Transfer;TXN107546
9/2/2023;Sales;Travel;Central;87515;9222;Cash;TXN107613
15/3/2023;Operations;Travel;Central;87064;97607;Bank Transfer;TXN107702
25/3/2022;Operations;Travel;Central;100262;124705;Card;TXN107800
9/12/2022;Operations;Travel;Central;108110;61160;Bank Transfer;TXN107996
26/11/2022;Operations;Travel;Central;32334;127581;Cash;TXN108098
13/11/2021;Sales;Travel;Central;113652;84863;Card;TXN108099
6/7/2022;Operations;Travel;Central;37807;108054;Bank Transfer;TXN108180
11/6/2022;IT;Travel;Central;99752;95731;Card;TXN108219
4/12/2022;Operations;Travel;Central;135646;54873;Card;TXN108295
16/7/2021;Operations;Travel;Central;20065;83478;Cash;TXN108456
2/3/2021;Operations;Travel;Central;86616;68187;UPI;TXN108466
12/7/2023;Operations;Travel;Central;148702;88274;Bank Transfer;TXN108525
29/11/2022;Operations;Travel;Central;53307;150145;Bank Transfer;TXN108557
28/1/2023;IT;Travel;Central;140593;26324;Cash;TXN108567
31/12/2022;IT;Travel;Central;18451;166662;Cash;TXN108612
24/10/2022;IT;Travel;Central;105615;58812;Card;TXN108797
2/2/2022;IT;Travel;Central;68328;112931;UPI;TXN108874
13/9/2023;Sales;Travel;Central;35550;151698;Bank Transfer;TXN108916
22/1/2022;IT;Travel;Central;93685;154580;Bank Transfer;TXN108954
17/7/2022;IT;Travel;Central;98999;14320;Cash;TXN109038
2/1/2023;Operations;Travel;Central;143435;117744;Bank Transfer;TXN109107
29/11/2021;Sales;Travel;Central;74898;99282;Bank Transfer;TXN109223
26/6/2023;Operations;Travel;Central;98169;40374;Cash;TXN109224
14/3/2023;Sales;Travel;Central;26849;138569;Cash;TXN109294
21/7/2023;Operations;Travel;Central;81811;140839;Cash;TXN109301
10/8/2021;IT;Travel;Central;54173;62702;Card;TXN109317
27/1/2021;Sales;Travel;Central;143034;50480;Card;TXN109396
5/2/2023;Sales;Travel;Central;54362;142048;UPI;TXN109478
22/11/2022;Operations;Travel;Central;45168;38583;UPI;TXN109554
19/1/2023;Sales;Travel;Central;102272;114341;Card;TXN109984
21/1/2022;Finance;Utilities;Central;85399;109122;Cash;TXN100011
25/7/2021;Finance;Utilities;Central;27227;138197;Card;TXN100047
5/8/2021;Finance;Utilities;Central;65155;99695;UPI;TXN100067
3/2/2023;Marketing;Utilities;Central;108314;71275;Bank Transfer;TXN100068
11/6/2023;IT;Utilities;Central;68827;135046;UPI;TXN100111
31/5/2023;Marketing;Utilities;Central;46973;158992;Card;TXN100186
27/11/2023;Finance;Utilities;Central;82404;157389;UPI;TXN100246
8/5/2021;Marketing;Utilities;Central;143831;36858;Bank Transfer;TXN100258
10/7/2023;Finance;Utilities;Central;114349;47802;Cash;TXN100273
29/7/2022;HR;Utilities;Central;26297;101897;UPI;TXN100291
15/9/2021;HR;Utilities;Central;117747;126888;Bank Transfer;TXN100367
25/4/2021;Finance;Utilities;Central;34632;91292;Card;TXN100391
7/5/2022;HR;Utilities;Central;29546;103344;Cash;TXN100448
22/1/2022;IT;Utilities;Central;113324;152036;Bank Transfer;TXN100475
9/7/2021;Marketing;Utilities;Central;79307;38714;Card;TXN100477
22/1/2023;Finance;Utilities;Central;67240;92195;Bank Transfer;TXN100518
27/8/2021;HR;Utilities;Central;16842;72556;UPI;TXN100644
16/12/2021;HR;Utilities;Central;117447;10475;UPI;TXN100707
21/11/2022;IT;Utilities;Central;119628;111274;Card;TXN100748
9/8/2023;IT;Utilities;Central;22058;162127;Card;TXN100806
9/11/2023;Finance;Utilities;Central;76423;101708;Cash;TXN100912
11/6/2021;IT;Utilities;Central;51646;123758;Cash;TXN100927
3/4/2023;Finance;Utilities;Central;147480;135117;UPI;TXN100950
30/3/2023;HR;Utilities;Central;139581;63602;Card;TXN101019
16/2/2021;IT;Utilities;Central;34054;98882;UPI;TXN101072
6/7/2021;Marketing;Utilities;Central;102541;130882;UPI;TXN101147
9/6/2021;IT;Utilities;Central;98647;60175;Cash;TXN101176
19/6/2021;Finance;Utilities;Central;61843;109700;Card;TXN101186
4/12/2021;Marketing;Utilities;Central;127937;48077;Bank Transfer;TXN101342
28/6/2023;HR;Utilities;Central;147939;82382;UPI;TXN101402
21/1/2021;Marketing;Utilities;Central;142185;77254;UPI;TXN101446
2/1/2021;Finance;Utilities;Central;117908;113249;Card;TXN101456
30/11/2021;HR;Utilities;Central;140194;88556;Card;TXN101495
22/10/2023;IT;Utilities;Central;132610;151408;Cash;TXN101501
6/5/2021;Marketing;Utilities;Central;34166;146288;Bank Transfer;TXN101515
9/5/2021;HR;Utilities;Central;17560;17353;UPI;TXN101528
